Manufactor,Year,Model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
מרצדס,2014, S-CLASS,3,אוטומטית,4700,בנזין,,,nan,כפר כנא,249000.0,1,2022-10-12,2022-10-12,"אוטו במצב מצוין ק""מ נמוך &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; אוטו שמור מתחיב בבדיקה גיר מנוע ושילדה מפוצצת תוספות צבע מיוחד יפה מאוד",nan,105000,
מרצדס,2022, 300,1,אוטומטית,2000,בנזין,,,nan,עין מאהל,476000.0,1,2022-10-10,2022-10-10,"מרצדס c300 קופה שנת 2022 צבע שחור, ריפוד קאמל, הכל מקורי קנייה בארץ.
יד 01 
ק״מ - 9000 
הדגם הכי מפואר! 
עדיין באחריות
בקיצור רכב מציאה",nan,6000,
מרצדס,2000, 320,3,אוטומטית,3200,בנזין,,,nan,חד,21000.0,1,2022-10-09,2022-10-09,מובילי סוג הרכב ml320,nan,417000,
מרצדס,2015, 180,3,אוטומטית,1600,בנזין,,,טבריה והסביבה,מגאר,100000.0,1,2022-10-03,2022-10-03,None,nan,130000,
מרצדס,2018, GLA,2,אוטומטית,1600,בנזין,,,פתח תקוה והסביבה,פתח תקווה,192000.0,1,2022-09-29,2022-09-29,הרכב במצב חדש.דגם urban GLA 200 עם כל התוספות.חויית נהיגה גג פנורמי.רפודי עור בהירים.טסט לשנה ואחרי טיפול,nan,92000,
מרצדס,2007, 200,4,אוטומטית,2500,בנזין,,,עכו - נהריה,עכו,40000.0,1,2022-09-28,2022-09-28,None,nan,240,
מרצדס,2017, 220,1,אוטומטית,2200,טורבו דיזל,,,רעננה - כפר סבא,רעננה,142000.0,1,2022-09-27,2022-09-27,שמורה מאוד 9 הילוכים &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כל התוספות,nan,220000,
מרצדס,2012, 350,3,אוטומטית,3600,בנזין,,,nan,גת,125000.0,1,2022-09-20,2022-09-20,הרכב שמור מאוד ומטופל היטב ללא תאונות עם ארבע צמיגים חדשים וגאנטים 20,nan,160000,
מרצדס,2020, S-Class,2,אוטומטית,3000,היבריד,פרטית,פרטית,אשדוד - אשקלון,אשדוד,575.0,3,2022-09-19,2022-09-19,"במצב חדש 
טיפולים מסודרים",שחור,77000,
מרצדס,2018, 350,1,אוטומטית,2000,בנזין,,,ירושלים והסביבה,ירושלים,315000.0,1,2022-09-17,2022-09-17,"יד שניה יבוא מגרמניה ללא תאונות &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג פנורמי ,בלימת פתע אחורה וקדימה,מצלמה 360, תצוגה בחלון,מערכת ווייז ויוטיוב,חימום כיסאות קדימה ואחורה,מערכת לגילו תמרורים ומצלמות מהירות,מערכת שמע בור מאסטר,כניסה ללא מפתח,כסאות חשמל עם זיכרונות,מערכת עזרא בחניה,הקלטה בחנייה אחורה וקדימה,מצלמות דרך אחורה וקדימה.",nan,73000,
מרצדס,2022, CLA,1,אוטומטית,1332,בנזין,,,ירושלים והסביבה,ירושלים,,1,2022-09-15,2022-09-15,None,nan,3500,
מרצדס,2009, E- CLASS,3,אוטומטית,2998,בנזין,,,nan,טמרה,70000.0,1,2022-09-13,2022-09-13,רכב במצב מצויין ללא תאונות,nan,155000,
מרצדס,2020, 300,1,אוטומטית,1991,היברידי,,,נתניה והסביבה,נתניה,399000.0,1,2022-09-06,2022-09-06,"GLC300e 4 MATIC AMG הייהריד !

רכב במצב חדש ! טיפול 25,000 בוצע בחברה !",nan,30000,
